regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n_IS,wins,wr_IS,exp_R_IS,n_OOS,wr_OOS,exp_R_OOS
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,58,44,0.7586,1.2759,17.0,0.7647,1.2941
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR14,58,44,0.7586,1.2759,15.0,0.8,1.4
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR21,29,22,0.7586,1.2759,8.0,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR21,33,25,0.7576,1.2727,7.0,0.7143,1.1429
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI14_SK5SS3SD3_ATR14,70,53,0.7571,1.2714,33.0,0.5758,0.7273
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,41,31,0.7561,1.2683,12.0,0.6667,1.0
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR7,45,34,0.7556,1.2667,11.0,0.7273,1.1818
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR21,81,61,0.7531,1.2593,21.0,0.7143,1.1429
bull,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR21,20,15,0.75,1.25,6.0,0.8333,1.5
bear,-1,-1,0,weak,weak,neutral,1,SHORT,EMA21_RSI14_SK5SS3SD3_ATR7,20,15,0.75,1.25,6.0,0.3333,-0.0
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI14_SK14SS3SD3_ATR7,48,36,0.75,1.25,23.0,0.6522,0.9565
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR21,28,21,0.75,1.25,5.0,0.8,1.4
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR21,40,30,0.75,1.25,11.0,0.5455,0.6364
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR7,52,39,0.75,1.25,13.0,0.6154,0.8462
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR7,20,15,0.75,1.25,5.0,0.6,0.8
bear,-1,-1,1,weak,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR14,20,15,0.75,1.25,3.0,0.6667,1.0
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK14SS3SD3_ATR7,24,18,0.75,1.25,4.0,0.5,0.5
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR14,32,24,0.75,1.25,7.0,0.7143,1.1429
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI14_SK21SS5SD5_ATR7,32,24,0.75,1.25,8.0,0.75,1.25
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR7,24,18,0.75,1.25,4.0,1.0,2.0
